1,1,0.01639344262295082,BoulwareNegotiationParty@32,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
48,2,0.7868852459016393,Agent1@33,(Offer  bid:Bid[Social Security: welfare and no health insurance, Labor tax: Low labor tax, Environmental tax: Low tax, Usage of army: Army for offencive missions, Immigration policy: Closed borders, Stay or leave EU: stay, National or globalized economy: Only dependent on national products, Drug policy: All drugs illegal])
49,1,0.8032786885245902,BoulwareNegotiationParty@32,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: Low tax, Usage of army: Army for peace mission, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
49,2,0.8032786885245902,Agent1@33,(Offer  bid:Bid[Social Security: no welfare and health insurance, Labor tax: Low labor tax, Environmental tax: Low tax, Usage of army: No army, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: Only dependent on national products, Drug policy: All drugs legal])
50,1,0.819672131147541,BoulwareNegotiationParty@32,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: Army for offencive missions, Immigration policy: People from the EU and refugees, Stay or leave EU: stay, National or globalized economy: Mostly dependent on national products, but some export, Drug policy: Softdrugs legal])
50,2,0.819672131147541,Agent1@33,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Low labor tax, Environmental tax: Low tax, Usage of army: Army for offencive missions, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: Only dependent on national products, Drug policy: Softdrugs tolerated])
51,1,0.8360655737704918,BoulwareNegotiationParty@32,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: Army for offencive missions, Immigration policy: People from the EU and refugees, Stay or leave EU: stay, National or globalized economy: Mostly dependent on national products, but some export, Drug policy: Softdrugs legal])
51,2,0.8360655737704918,Agent1@33,(Offer  bid:Bid[Social Security: no welfare and health insurance, Labor tax: Low labor tax, Environmental tax: Low tax, Usage of army: Army for offencive missions, Immigration policy: People from the EU and refugees, Stay or leave EU: stay, National or globalized economy: Only dependent on national products, Drug policy: All drugs illegal])
52,1,0.8524590163934426,BoulwareNegotiationParty@32,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Low labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Just refugees, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs tolerated])
52,2,0.8524590163934426,Agent1@33,(Offer  bid:Bid[Social Security: no welfare and no health insurance, Labor tax: Low labor tax, Environmental tax: Low tax, Usage of army: Army for offencive missions, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: Only dependent on national products, Drug policy: Softdrugs legal])
53,1,0.8688524590163934,BoulwareNegotiationParty@32,(Offer  bid:Bid[Social Security: no welfare and no health insurance, Labor tax: Medium labor tax, Environmental tax: Low tax, Usage of army: Army just for defence, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs tolerated])
53,2,0.8688524590163934,Agent1@33,(Offer  bid:Bid[Social Security: no welfare and health insurance, Labor tax: Low labor tax, Environmental tax: Low tax, Usage of army: Army for offencive missions, Immigration policy: Closed borders, Stay or leave EU: stay, National or globalized economy: Only dependent on national products, Drug policy: Softdrugs tolerated])
54,1,0.8852459016393442,BoulwareNegotiationParty@32,(Offer  bid:Bid[Social Security: no welfare and no health insurance, Labor tax: Medium labor tax, Environmental tax: Low tax, Usage of army: Army just for defence, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs tolerated])
54,2,0.8852459016393442,Agent1@33,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Low labor tax, Environmental tax: Low tax, Usage of army: No army, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: Only dependent on national products, Drug policy: All drugs illegal])
55,1,0.9016393442622951,BoulwareNegotiationParty@32,(Offer  bid:Bid[Social Security: no welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Just refugees, Stay or leave EU: stay, National or globalized economy: Mostly dependent on national products, but some export, Drug policy: All drugs legal])
55,2,0.9016393442622951,Agent1@33,(Offer  bid:Bid[Social Security: welfare and no health insurance, Labor tax: Low labor tax, Environmental tax: Low tax, Usage of army: Army for offencive missions, Immigration policy: Closed borders, Stay or leave EU: stay, National or globalized economy: Only dependent on national products, Drug policy: All drugs illegal])
56,1,0.9180327868852459,BoulwareNegotiationParty@32,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Low labor tax, Environmental tax: Medium tax, Usage of army: No army, Immigration policy: People from the EU and refugees, Stay or leave EU: leave, National or globalized economy: Mostly dependent on national products, but some export, Drug policy: Softdrugs legal])
56,2,0.9180327868852459,Agent1@33,(Offer  bid:Bid[Social Security: no welfare and health insurance, Labor tax: Low labor tax, Environmental tax: Low tax, Usage of army: Army just for defence, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: Only dependent on national products, Drug policy: Softdrugs legal])
57,1,0.9344262295081968,BoulwareNegotiationParty@32,(Offer  bid:Bid[Social Security: no welfare and no health insurance, Labor tax: Medium labor tax, Environmental tax: Medium tax, Usage of army: No army, Immigration policy: Just refugees, Stay or leave EU: leave, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs tolerated])
57,2,0.9344262295081968,Agent1@33,(Offer  bid:Bid[Social Security: no welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: Low tax, Usage of army: Army for offencive missions, Immigration policy: Closed borders, Stay or leave EU: stay, National or globalized economy: Only dependent on national products, Drug policy: All drugs illegal])
58,1,0.9508196721311475,BoulwareNegotiationParty@32,(Offer  bid:Bid[Social Security: welfare and no health insurance, Labor tax: Low labor tax, Environmental tax: Low tax, Usage of army: Army for peace mission, Immigration policy: People from the EU and refugees, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs tolerated])
58,2,0.9508196721311475,Agent1@33,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Low labor tax, Environmental tax: Low tax, Usage of army: Army just for defence, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: Only dependent on national products, Drug policy: All drugs illegal])
59,1,0.9672131147540983,BoulwareNegotiationParty@32,(Offer  bid:Bid[Social Security: no welfare and health insurance, Labor tax: Low labor tax, Environmental tax: High tax, Usage of army: Army just for defence, Immigration policy: Just people from the EU, Stay or leave EU: stay, National or globalized economy: somewhat dependent on export, Drug policy: All drugs legal])
59,2,0.9672131147540983,Agent1@33,(Offer  bid:Bid[Social Security: no welfare and health insurance, Labor tax: Low labor tax, Environmental tax: High tax, Usage of army: Army for offencive missions, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: Only dependent on national products, Drug policy: Softdrugs tolerated])
60,1,0.9836065573770492,BoulwareNegotiationParty@32,(Offer  bid:Bid[Social Security: no welfare and no health insurance, Labor tax: Low labor tax, Environmental tax: Medium tax, Usage of army: Army for offencive missions, Immigration policy: Just refugees, Stay or leave EU: stay, National or globalized economy: Mostly dependent on national products, but some export, Drug policy: All drugs illegal])
60,2,0.9836065573770492,Agent1@33,(Offer  bid:Bid[Social Security: no welfare and health insurance, Labor tax: Low labor tax, Environmental tax: Low tax, Usage of army: Army for offencive missions, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
ended-no-agreement
